PLAYER,TEAM,POSITION,YEAR,Price,Round,Score
Aaron Black,NTH,FWD,2011,110200,1,
Aaron Black,NTH,FWD,2011,110200,2,
Aaron Black,NTH,FWD,2011,110200,3,
Aaron Black,NTH,FWD,2011,110200,4,
Aaron Black,NTH,FWD,2011,110200,5,
Aaron Black,NTH,FWD,2011,110200,6,
Aaron Black,NTH,FWD,2011,110200,7,
Aaron Black,NTH,FWD,2011,110200,8,
Aaron Black,NTH,FWD,2011,110200,9,
Aaron Black,NTH,FWD,2011,110200,10,
Aaron Black,NTH,FWD,2011,110200,11,
Aaron Black,NTH,FWD,2011,110200,12,
Aaron Black,NTH,FWD,2011,110200,13,
Aaron Black,NTH,FWD,2011,110200,14,
Aaron Black,NTH,FWD,2011,110200,15,
Aaron Black,NTH,FWD,2011,110200,16,
Aaron Black,NTH,FWD,2011,110200,17,
Aaron Black,NTH,FWD,2011,110200,18,
Aaron Black,NTH,FWD,2011,110200,19,
Aaron Black,NTH,FWD,2011,110200,20,
Aaron Black,NTH,FWD,2011,110200,21,
Aaron Black,NTH,FWD,2011,110200,22,
Aaron Black,NTH,FWD,2011,110200,23,
Aaron Black,NTH,FWD,2011,110200,24,33
Aaron Black,NTH,FWD,2012,196300,1,
Aaron Black,NTH,FWD,2012,196300,2,
Aaron Black,NTH,FWD,2012,196300,3,
Aaron Black,NTH,FWD,2012,196300,4,
Aaron Black,NTH,FWD,2012,196300,5,
Aaron Black,NTH,FWD,2012,196300,6,
Aaron Black,NTH,FWD,2012,196300,7,
Aaron Black,NTH,FWD,2012,196300,8,
Aaron Black,NTH,FWD,2012,196300,9,85
Aaron Black,NTH,FWD,2012,196300,10,41
Aaron Black,NTH,FWD,2012,196300,11,
Aaron Black,NTH,FWD,2012,196300,12,23
Aaron Black,NTH,FWD,2012,196300,13,
Aaron Black,NTH,FWD,2012,196300,14,
Aaron Black,NTH,FWD,2012,196300,15,
Aaron Black,NTH,FWD,2012,196300,16,
Aaron Black,NTH,FWD,2012,196300,17,
Aaron Black,NTH,FWD,2012,196300,18,
Aaron Black,NTH,FWD,2012,196300,19,
Aaron Black,NTH,FWD,2012,196300,20,
Aaron Black,NTH,FWD,2012,196300,21,
Aaron Black,NTH,FWD,2012,196300,22,
Aaron Black,NTH,FWD,2012,196300,23,
Aaron Black,NTH,FWD,2012,196300,24,
Aaron Black,NTH,FWD,2013,337600,1,
Aaron Black,NTH,FWD,2013,337600,2,
Aaron Black,NTH,FWD,2013,337600,3,
Aaron Black,NTH,FWD,2013,337600,4,
Aaron Black,NTH,FWD,2013,337600,5,87
Aaron Black,NTH,FWD,2013,337600,6,84
Aaron Black,NTH,FWD,2013,337600,7,93
Aaron Black,NTH,FWD,2013,337600,8,116
Aaron Black,NTH,FWD,2013,337600,9,60
Aaron Black,NTH,FWD,2013,337600,10,131
Aaron Black,NTH,FWD,2013,337600,11,60
Aaron Black,NTH,FWD,2013,337600,12,
Aaron Black,NTH,FWD,2013,337600,13,65
Aaron Black,NTH,FWD,2013,337600,14,29
Aaron Black,NTH,FWD,2013,337600,15,94
Aaron Black,NTH,FWD,2013,337600,16,60
Aaron Black,NTH,FWD,2013,337600,17,48
Aaron Black,NTH,FWD,2013,337600,18,89
Aaron Black,NTH,FWD,2013,337600,19,70
Aaron Black,NTH,FWD,2013,337600,20,40
Aaron Black,NTH,FWD,2013,337600,21,70
Aaron Black,NTH,FWD,2013,337600,22,76
Aaron Black,NTH,FWD,2013,337600,23,106
Aaron Black,NTH,FWD,2013,337600,24,
Aaron Black,NTH,FWD,2014,295800,1,53
Aaron Black,NTH,FWD,2014,295800,2,53
Aaron Black,NTH,FWD,2014,295800,3,55
Aaron Black,NTH,FWD,2014,295800,4,96
Aaron Black,NTH,FWD,2014,295800,5,40
Aaron Black,NTH,FWD,2014,295800,6,62
Aaron Black,NTH,FWD,2014,295800,7,57
Aaron Black,NTH,FWD,2014,295800,8,
Aaron Black,NTH,FWD,2014,295800,9,102
Aaron Black,NTH,FWD,2014,295800,10,41
Aaron Black,NTH,FWD,2014,295800,11,68
Aaron Black,NTH,FWD,2014,295800,12,55
Aaron Black,NTH,FWD,2014,295800,13,43
Aaron Black,NTH,FWD,2014,295800,14,61
Aaron Black,NTH,FWD,2014,295800,15,36
Aaron Black,NTH,FWD,2014,295800,16,71
Aaron Black,NTH,FWD,2014,295800,17,52
Aaron Black,NTH,FWD,2014,295800,18,38
Aaron Black,NTH,FWD,2014,295800,19,50
Aaron Black,NTH,FWD,2014,295800,20,66
Aaron Black,NTH,FWD,2014,295800,21,96
Aaron Black,NTH,FWD,2014,295800,22,31
Aaron Black,NTH,FWD,2014,295800,23,56
Aaron Black,NTH,FWD,2014,295800,24,
Aaron Black,NTH,FWD,2015,283000,1,
Aaron Black,NTH,FWD,2015,283000,2,
Aaron Black,NTH,FWD,2015,283000,3,
Aaron Black,NTH,FWD,2015,283000,4,
Aaron Black,NTH,FWD,2015,283000,5,29
Aaron Black,NTH,FWD,2015,283000,6,
Aaron Black,NTH,FWD,2015,283000,7,
Aaron Black,NTH,FWD,2015,283000,8,
Aaron Black,NTH,FWD,2015,283000,9,
Aaron Black,NTH,FWD,2015,283000,10,
Aaron Black,NTH,FWD,2015,283000,11,
Aaron Black,NTH,FWD,2015,283000,12,
Aaron Black,NTH,FWD,2015,283000,13,
Aaron Black,NTH,FWD,2015,283000,14,
Aaron Black,NTH,FWD,2015,283000,15,
Aaron Black,NTH,FWD,2015,283000,16,49
Aaron Black,NTH,FWD,2015,283000,17,
Aaron Black,NTH,FWD,2015,283000,18,
Aaron Black,NTH,FWD,2015,283000,19,
Aaron Black,NTH,FWD,2015,283000,20,
Aaron Black,NTH,FWD,2015,283000,21,
Aaron Black,NTH,FWD,2015,283000,22,
Aaron Black,NTH,FWD,2015,283000,23,48
Aaron Black,NTH,FWD,2015,283000,24,
Aaron Cornelius,BRL,FWD,2011,225600,1,
Aaron Cornelius,BRL,FWD,2011,225600,2,
Aaron Cornelius,BRL,FWD,2011,225600,3,34
Aaron Cornelius,BRL,FWD,2011,225600,4,
Aaron Cornelius,BRL,FWD,2011,225600,5,42
Aaron Cornelius,BRL,FWD,2011,225600,6,
Aaron Cornelius,BRL,FWD,2011,225600,7,
Aaron Cornelius,BRL,FWD,2011,225600,8,
Aaron Cornelius,BRL,FWD,2011,225600,9,
Aaron Cornelius,BRL,FWD,2011,225600,10,
Aaron Cornelius,BRL,FWD,2011,225600,11,
Aaron Cornelius,BRL,FWD,2011,225600,12,
Aaron Cornelius,BRL,FWD,2011,225600,13,
Aaron Cornelius,BRL,FWD,2011,225600,14,
Aaron Cornelius,BRL,FWD,2011,225600,15,
Aaron Cornelius,BRL,FWD,2011,225600,16,
Aaron Cornelius,BRL,FWD,2011,225600,17,
Aaron Cornelius,BRL,FWD,2011,225600,18,73
Aaron Cornelius,BRL,FWD,2011,225600,19,
Aaron Cornelius,BRL,FWD,2011,225600,20,64
Aaron Cornelius,BRL,FWD,2011,225600,21,19
Aaron Cornelius,BRL,FWD,2011,225600,22,56
Aaron Cornelius,BRL,FWD,2011,225600,23,64
Aaron Cornelius,BRL,FWD,2011,225600,24,36
Aaron Cornelius,BRL,FWD,2012,210700,1,
Aaron Cornelius,BRL,FWD,2012,210700,2,
Aaron Cornelius,BRL,FWD,2012,210700,3,
Aaron Cornelius,BRL,FWD,2012,210700,4,90
Aaron Cornelius,BRL,FWD,2012,210700,5,27
Aaron Cornelius,BRL,FWD,2012,210700,6,42
Aaron Cornelius,BRL,FWD,2012,210700,7,
Aaron Cornelius,BRL,FWD,2012,210700,8,
Aaron Cornelius,BRL,FWD,2012,210700,9,63
Aaron Cornelius,BRL,FWD,2012,210700,10,35
Aaron Cornelius,BRL,FWD,2012,210700,11,
Aaron Cornelius,BRL,FWD,2012,210700,12,24
Aaron Cornelius,BRL,FWD,2012,210700,13,
Aaron Cornelius,BRL,FWD,2012,210700,14,
Aaron Cornelius,BRL,FWD,2012,210700,15,
Aaron Cornelius,BRL,FWD,2012,210700,16,43
Aaron Cornelius,BRL,FWD,2012,210700,17,59
Aaron Cornelius,BRL,FWD,2012,210700,18,
Aaron Cornelius,BRL,FWD,2012,210700,19,
Aaron Cornelius,BRL,FWD,2012,210700,20,
Aaron Cornelius,BRL,FWD,2012,210700,21,
Aaron Cornelius,BRL,FWD,2012,210700,22,
Aaron Cornelius,BRL,FWD,2012,210700,23,
Aaron Cornelius,BRL,FWD,2012,210700,24,
Aaron Cornelius,BRL,FWD,2013,244100,1,47
Aaron Cornelius,BRL,FWD,2013,244100,2,
Aaron Cornelius,BRL,FWD,2013,244100,3,
Aaron Cornelius,BRL,FWD,2013,244100,4,
Aaron Cornelius,BRL,FWD,2013,244100,5,58
Aaron Cornelius,BRL,FWD,2013,244100,6,21
Aaron Cornelius,BRL,FWD,2013,244100,7,
Aaron Cornelius,BRL,FWD,2013,244100,8,
Aaron Cornelius,BRL,FWD,2013,244100,9,
Aaron Cornelius,BRL,FWD,2013,244100,10,
Aaron Cornelius,BRL,FWD,2013,244100,11,
Aaron Cornelius,BRL,FWD,2013,244100,12,
Aaron Cornelius,BRL,FWD,2013,244100,13,
Aaron Cornelius,BRL,FWD,2013,244100,14,
Aaron Cornelius,BRL,FWD,2013,244100,15,
Aaron Cornelius,BRL,FWD,2013,244100,16,
Aaron Cornelius,BRL,FWD,2013,244100,17,
Aaron Cornelius,BRL,FWD,2013,244100,18,
Aaron Cornelius,BRL,FWD,2013,244100,19,
Aaron Cornelius,BRL,FWD,2013,244100,20,
Aaron Cornelius,BRL,FWD,2013,244100,21,
Aaron Cornelius,BRL,FWD,2013,244100,22,
Aaron Cornelius,BRL,FWD,2013,244100,23,
Aaron Cornelius,BRL,FWD,2013,244100,24,
Aaron Davey,MEL,FWD,2013,184000,1,
Aaron Davey,MEL,FWD,2013,184000,2,59
Aaron Davey,MEL,FWD,2013,184000,3,53
Aaron Davey,MEL,FWD,2013,184000,4,33
Aaron Davey,MEL,FWD,2013,184000,5,7
Aaron Davey,MEL,FWD,2013,184000,6,
Aaron Davey,MEL,FWD,2013,184000,7,8
Aaron Davey,MEL,FWD,2013,184000,8,125
